thumb,index,middle,ring,pinky,class
1738.28008,270.53298,708.99304,864.53038,1468.33578,five
1292.9222,702.74753,1050.75637,1057.60419,1651.43797,five
2492.74213,1550.61125,1854.5759,1350.26055,1993.73448,five
2131.57965,2000.16488,2159.41184,2127.41374,2663.36701,five
2652.77813,1263.78977,1816.41188,2013.39566,2753.33358,five
1636.68357,685.74612,505.74288,1090.47342,1996.60149,five
1810.88055,781.96315,316.63015,1042.3581,2042.80524,five
1125.51786,1367.72112,2013.47725,1760.70889,2416.71992,five
1452.74815,1309.311,1924.19652,1959.55524,2674.4387,five
477.21151,782.19336,1223.89077,1429.66119,1626.30274,five
3936.29612,985.98684,1202.56556,1410.10137,1892.33024,five
2357.89858,1606.63598,1600.98888,1696.77726,2193.61924,five
2531.30195,1376.92251,1397.54598,1467.72594,1955.82707,five
2166.81601,1487.31443,1275.12367,1375.1343,1750.60257,five
2105.57836,1079.09931,1127.36301,1332.67438,1752.52306,five
3416.18119,841.77848,1407.34179,1371.8163,2214.45474,five
735.87631,432.76399,1374.16433,1463.80978,2099.41493,five
1219.66434,670.53211,1085.39727,1263.50144,1816.0986,five
2761.96963,1171.57335,1171.7734,1287.84493,1901.133,five
3105.01363,806.20768,1178.15081,1363.44045,1968.31818,five
544.47439,1103.08337,1679.67828,1740.6568,2324.15485,five
489.47357,512.88228,1225.71153,1444.61596,1832.3546,five
2166.39053,845.992,1029.20669,1271.98799,1861.79186,five
2792.86213,739.59592,843.38545,1184.47403,1712.9788,five
3745.04558,704.86294,846.88649,1139.64034,1734.71191,five
2996.07428,773.99225,1120.33214,1320.97171,1892.55637,five
462.81451,1316.04161,1803.59974,1910.91083,2530.98738,five
832.09505,2050.06502,2254.35365,2802.63439,3019.97103,five
1148.4024,792.79009,1103.0973,1446.89563,2072.3584,five
1156.41069,1413.68696,1264.65136,1253.03911,1439.76212,five
1686.69104,995.00179,1009.467,1135.01065,1821.93189,five
2800.65463,102.71688,801.21922,948.56179,1442.75894,five
3966.52001,324.47992,1013.68872,891.71758,1691.88268,five
575.64496,1659.28349,2186.11748,2078.32578,2535.58141,five
2005.7588,696.90016,811.5687,927.09769,1506.44601,five
3000.4541,681.97079,830.49124,1104.16083,1635.02735,five
2527.65156,167.18292,873.02108,1172.75087,2034.44738,five
2164.3324,1553.98878,1801.71095,1821.30463,2360.99337,five
657.26855,844.42515,1015.59816,1080.9397,1576.63373,five
2917.45359,941.98521,1056.29428,1204.46301,1766.37863,five
2934.11955,879.96514,1177.52202,1361.6869,2069.04182,five
1925.3641,1221.37566,1619.66591,1831.43813,2377.34945,five
56.78322,707.88151,865.92544,1045.63408,1600.34927,five
3008.71928,1079.49809,1159.13827,1248.18669,1699.6056,five
2451.9274,901.95724,1055.05173,1196.353,1804.14512,five
3654.81164,1258.63286,1394.54102,1737.63592,2430.18294,five
3073.98161,1342.78846,1578.86178,1606.69669,2274.52025,five
2147.67303,1219.5606,1368.13603,1396.14234,1957.81017,five
1755.14558,1010.67985,1242.66246,1353.1994,1789.49356,five
2063.76081,1011.53423,1342.68935,1566.68546,2008.9475,five
4078.14684,625.84785,592.7934,1117.93045,1561.97978,four
3256.65347,1089.85093,924.3741,1003.59986,1120.76786,four
3588.69109,765.37893,823.41978,593.94268,1486.93637,four
3398.43524,847.97025,593.9881,523.87041,1461.72804,four
3461.99368,809.15374,668.83869,614.6752,1195.07768,four
3509.07415,833.97571,627.01729,551.13969,1230.99486,four
3605.16464,741.70829,755.76703,616.98061,1192.12599,four
3526.97104,780.90713,683.20181,582.75786,1235.5978,four
3128.50817,1086.02666,1215.50494,834.25043,1399.13361,four
3083.80648,356.80262,1155.12675,886.08087,1401.85748,four
3320.93031,355.57731,812.12448,1399.47721,1782.50555,four
3341.6883,282.95395,1051.17813,916.32611,1352.77193,four
424.84569,1271.32756,703.42006,498.40368,1082.63197,four
546.15199,1343.35456,465.08932,1057.74859,3749.09157,four
2204.69215,309.38791,965.72602,1052.32118,879.05055,four
2520.48022,255.25073,623.96299,771.09714,2184.10277,four
2766.40896,179.21602,611.31569,880.25748,1387.27947,four
3120.95562,142.46016,978.59973,950.5885,1277.60706,four
3485.21108,534.78459,1442.12382,1335.35159,1650.74076,four
3063.58288,405.19533,618.64819,830.30082,1373.05822,four
2859.7313,690.88262,683.32867,796.48726,1416.50406,four
2193.57424,333.69724,729.72217,1166.68801,1914.08099,four
3174.84874,344.46128,1464.16984,708.40685,1355.24821,four
2679.65568,2580.00195,2422.50266,2534.58343,4514.05517,four
2896.31832,1691.81447,777.95563,1243.51919,2726.85638,four
2964.57742,438.09348,618.68576,861.13862,1573.35906,four
3403.31134,842.67848,1201.37563,831.12733,1350.43808,four
2601.25282,800.78588,732.33014,905.24594,1213.99682,four
1130.28564,1540.3785,513.30503,981.56966,1458.23171,four
2011.47768,1694.19652,138.71456,769.69597,1515.66409,four
3721.25977,1156.19163,1809.84146,941.86045,1629.01754,four
3674.16016,1892.12878,760.70354,1903.33266,2318.43127,four
6276.20992,1914.41144,2455.00094,2576.07292,2934.35352,four
1986.1,665.60832,1332.40364,1520.84916,1827.46782,four
2978.0986,794.83615,658.32298,1080.24746,1521.59543,four
2871.09076,712.22234,922.55777,1200.97528,1712.5102,four
2058.3779,503.39823,779.24811,893.56755,1109.57496,four
2326.86977,678.05678,666.2334,797.87803,1004.87658,four
2464.98018,678.94968,909.32723,710.3612,1243.23553,four
2117.06833,763.49756,1209.20121,827.51839,490.71458,four
3166.07537,571.3922,812.62242,882.9391,1067.76029,four
2943.46655,996.08045,601.29153,838.38172,976.75141,four
3787.8004,333.90954,1452.87241,1519.85362,1734.87993,four
3717.04216,657.93638,1628.75239,1866.38967,2313.05641,four
3845.10253,609.5301,1458.77994,1542.30831,1926.15098,four
2932.62492,913.53662,739.88556,814.61593,1165.44226,four
2929.23953,757.96256,667.28223,868.36905,531.68552,four
2776.27238,1835.64467,333.6739,5368.59944,3334.03948,four
1893.07741,579.51933,758.71437,855.08996,1224.6311,four
3248.23282,272.37081,738.48531,629.1843,1041.38282,four
3365.84586,7296.58961,488.29025,2063.23205,1656.83876,three
3494.97384,7024.08224,587.24164,1797.82137,1618.79951,three
3896.92534,7070.89507,730.01415,1788.37924,1621.70224,three
3933.48924,7104.89986,875.81304,1892.52617,1710.67185,three
3930.6365,7075.39123,883.04347,1904.05197,1729.55562,three
3625.63077,7009.53762,977.905,2033.94546,1778.6763,three
3423.1079,7015.1782,775.58031,1913.58569,1597.51982,three
3472.5693,7041.57234,760.25527,1904.06462,1523.27557,three
3519.39714,7084.28792,508.91421,1597.8084,1243.53833,three
3642.68984,7125.10925,505.1779,1610.21013,1322.25022,three
3762.98426,7145.72742,443.62155,1572.8317,1352.41487,three
3743.29788,7166.12395,546.08575,1737.86145,1408.71364,three
5246.24428,7373.63115,457.25666,1649.16114,1933.91848,three
4606.00796,7544.46238,1307.70641,1944.65473,2021.2166,three
4432.70735,7762.16517,1593.73882,2266.31002,2021.87842,three
3764.52592,7195.67257,620.44264,1638.58912,1448.10801,three
4562.47077,6991.01598,198.86843,1440.57626,1596.74761,three
3917.13561,7227.4428,460.94341,991.29951,1074.74107,three
4208.68271,7282.25121,447.81056,1289.99127,1217.73218,three
4127.79598,7244.78209,574.16959,897.38779,1031.86419,three
3715.11511,7220.16167,405.80936,830.95056,1099.15843,three
4922.11674,7342.63396,239.36826,270.86562,946.58705,three
5616.18577,7110.31026,678.99171,703.55499,1309.78339,three
5814.75668,6518.26285,340.24967,1770.62408,2118.395,three
5043.97091,7003.78391,754.56209,1524.63268,1674.64645,three
4762.91776,7227.81034,909.29181,1838.20199,1834.96459,three
3891.14326,7204.29043,499.25704,1543.33426,1575.84509,three
3644.05352,7051.81493,435.59583,1254.22003,1348.75781,three
4825.71323,7256.41455,860.33146,944.24772,1169.64166,three
4757.60815,7429.53525,888.86047,1989.71347,1973.83883,three
4125.91861,7633.67394,1062.01046,2018.01374,1768.67798,three
4188.33641,7453.28352,830.42892,1782.75543,1533.66383,three
4020.49099,7418.40045,837.71687,1721.31981,1470.60111,three
4119.32662,7232.41324,543.09338,1389.16196,1105.1761,three
4221.54985,7271.41828,281.77177,1161.63118,1177.32577,three
3958.96776,7256.63563,173.52965,1108.74822,1078.22307,three
4199.82704,7326.48249,295.64422,912.87492,1109.76023,three
4282.17345,7306.84171,307.78911,787.35072,1096.45378,three
3678.48164,7213.66148,594.60154,305.57257,863.14658,three
4697.54187,7184.4806,649.72784,647.18142,1328.42872,three
4975.61461,7049.60739,599.33773,737.9858,1289.78386,three
4647.78839,7140.06087,483.65205,1955.01734,2162.79402,three
4993.04675,7176.47558,373.61948,1664.65294,2288.83664,three
4985.35455,7342.18901,189.88856,1701.71449,1843.88848,three
4863.50158,7169.71338,1111.03071,577.50624,972.056,three
4144.90555,7239.59579,1592.72381,1071.90842,811.98638,three
4230.87185,7041.24793,1887.52678,581.49501,298.71568,three
4313.07571,6954.85643,283.78835,966.36568,827.4062,three
4073.84514,7510.74583,1090.68104,1120.05779,1138.34879,three
3856.86271,6978.02021,552.41517,1269.97359,1060.72374,three
3979.97448,1096.90756,1256.78023,6594.34729,6200.15876,two
3962.82395,1539.27988,1697.15771,6739.88846,6180.91834,two
4027.61901,1632.76452,1825.49604,6754.24191,6160.62706,two
3821.25395,1217.13729,1043.90542,6672.90115,6214.62707,two
3666.67829,1377.82648,1215.67352,6599.51153,6048.45168,two
3263.14531,1329.38884,784.85293,6504.92708,6032.68628,two
3711.52476,1352.37825,902.286,6536.73574,6177.62145,two
3394.83884,1191.97466,668.99328,6632.25087,6280.18428,two
3384.58316,1548.22175,8062.64061,6552.47066,6145.47161,two
4165.9287,2487.03908,2540.08641,6941.69837,6586.24818,two
4219.429,969.2881,1445.65352,6595.98347,5684.0933,two
4402.83448,1442.10333,2076.98442,6740.49099,5913.21953,two
4370.03759,1586.22088,2426.35934,7155.29615,6228.498,two
4105.99505,1324.79231,9154.3591,6040.73422,5234.63941,two
3082.7721,1215.20086,1123.44459,6757.05283,6156.7313,two
3057.23481,981.88256,1600.63662,6818.24914,6171.91556,two
2907.63644,923.32042,2146.47949,6833.48934,6392.61603,two
2474.14232,483.13061,3821.43393,6684.47739,6950.91203,two
2549.06819,1006.29053,2635.34019,6959.85026,6139.84345,two
3979.08653,1537.36131,2008.87471,6101.79568,6032.64359,two
4058.59802,1710.97353,1553.74237,6881.97597,6578.27319,two
4164.31485,1955.65843,1797.65929,6586.74203,6196.3411,two
4020.62803,1689.22538,1718.10339,6494.6406,6249.42708,two
3132.27042,1656.23543,7095.88481,6475.38808,5921.37199,two
3116.19606,1200.42453,8058.56692,6406.03483,6012.84316,two
3373.43542,900.68569,1369.02592,6357.06898,5909.25149,two
3229.48887,1001.1702,1116.81099,6417.86452,6090.27988,two
3108.97653,1106.68727,1087.81436,6479.56892,6113.00346,two
3059.52315,953.16449,1050.65562,6457.56435,6124.37466,two
3127.55853,927.53742,1163.14554,6460.1547,6116.03752,two
3115.24725,922.41938,1216.89255,6480.21723,6119.52055,two
3080.59236,1019.57284,1084.27498,6535.10648,6165.86216,two
3060.86797,893.27498,1189.34861,6481.99349,6131.866,two
3068.84722,886.29239,1160.85659,6530.63256,6232.54649,two
3080.25453,861.62173,1177.75424,6556.79233,6244.23403,two
3189.14736,826.0758,1317.65429,6548.29148,6191.00733,two
3195.57834,800.36499,1191.97301,6482.326,6266.5303,two
3231.05149,814.70699,1179.66263,6421.78849,6100.78651,two
3213.61332,905.72803,1101.18719,6390.38168,6145.82965,two
3257.22382,789.903,1167.54412,6387.88295,6167.8222,two
3182.31487,738.42639,1107.3544,6429.99286,6237.86146,two
3143.13994,843.59503,1114.86502,6432.89116,6191.10377,two
3026.10677,1031.04058,1217.15528,6538.92793,6238.6974,two
3002.28322,917.47345,1191.29622,6518.12684,6239.53855,two
3058.17635,847.16741,1141.60275,6523.10055,6194.08414,two
3012.45646,931.15763,1797.33656,6502.50565,6175.95696,two
3000.47051,949.73762,1609.01908,6492.28992,6223.49147,two
3002.01915,1022.99742,2590.71844,6493.48403,6180.47926,two
2996.38551,1017.08219,6483.26862,6404.9517,6110.95126,two
3073.83675,1023.75028,6674.43694,6369.73238,6109.23903,two
3556.00611,2114.94108,6148.04848,6088.97815,5916.74316,one
3620.5075,1769.77739,6022.7302,6148.74454,5865.00113,one
3816.44266,2100.41627,6483.68,6473.46165,6054.61564,one
3323.14552,1854.38004,7304.2107,6818.83226,5974.09857,one
2630.66707,4548.79125,4290.44171,5166.38298,4321.74813,one
2088.67941,671.25053,6472.16007,6349.74166,6484.18862,one
3138.33175,1906.59125,6698.80482,6549.85725,6215.38368,one
2811.31426,1207.07805,7265.55109,6700.22019,5977.67191,one
2838.42503,955.29315,7113.23907,6450.16584,6125.79233,one
2629.6709,159.37445,6667.32937,6346.2151,6321.97999,one
2718.54056,239.52042,6615.64261,6344.34044,6342.58526,one
2814.62825,204.52995,6473.11233,6268.83438,6261.32618,one
2851.60833,471.69659,6483.06316,6272.14976,6247.93818,one
2815.38219,689.90848,6523.82049,6330.56534,6187.30624,one
2720.58926,835.2024,6564.97448,6374.15258,6248.92462,one
2742.13089,816.34164,6616.79953,6408.69934,6243.58664,one
2762.92267,766.59617,6611.69618,6424.44089,6299.25683,one
2889.47165,617.94274,6520.67552,6391.54545,6242.34179,one
2855.7703,723.70089,6523.18809,6409.72292,6175.64827,one
2718.9599,664.96026,6498.68174,6401.08792,6238.24691,one
2863.05785,671.05322,6304.61448,6276.78691,6168.02994,one
3127.35466,639.77445,6131.04558,6149.91437,6129.18534,one
3155.57514,930.98632,6218.66019,6173.59107,6073.36894,one
3112.81499,866.07619,6210.58583,6192.90459,6099.4608,one
3071.5573,864.21762,6395.69369,6286.33434,6038.3318,one
3012.00663,949.93796,6495.06118,6347.75753,6098.45406,one
3081.66629,1021.30501,6558.21824,6327.93467,6047.83892,one
3191.27987,1151.66207,6631.28984,6290.75392,5992.91971,one
2778.51841,1060.78734,6726.52731,6332.26821,5923.49253,one
2813.58459,1087.76564,7059.64987,6614.43301,5997.04061,one
3246.59799,1367.18518,7087.85048,6685.45347,6052.05336,one
3280.27861,1412.23753,6978.63735,6633.22427,6153.53849,one
3478.48809,1659.31286,6825.40988,6558.585,6238.10204,one
3573.36474,2124.54111,6713.86201,6459.31785,6167.93143,one
3831.76425,2498.97626,6772.1281,6589.46767,6235.19737,one
4091.8777,6493.00417,6769.93212,6603.24442,6122.11373,one
3053.69311,292.81009,6068.5344,5744.08547,5976.08598,one
3100.61611,546.57237,6107.18777,5899.92909,6029.22296,one
3025.01778,786.70033,6358.42443,6145.74973,6115.66685,one
3558.07997,971.13715,6281.01961,6206.11221,6007.17352,one
3357.78141,1087.2156,6405.29089,6291.37029,5829.54611,one
3289.17185,1009.40751,6463.95745,6378.37284,5891.63199,one
3031.25861,1098.65804,6536.59653,6488.75728,5942.13742,one
2992.6778,1109.30263,6481.39715,6497.15968,5895.92453,one
2932.2628,1073.73036,6561.06251,6568.92811,5931.82543,one
2914.0122,1099.07447,6512.42154,6515.98781,5907.63849,one
2851.11485,1102.58,6546.21153,6555.42038,5941.3798,one
3024.11598,1178.0171,6525.08219,6525.15007,5867.3687,one
3058.72499,1203.4888,6507.9145,6497.93834,5833.01464,one
3143.33909,1327.34348,6504.69265,6455.02132,5795.6949,one
4114.13539,6544.10601,6538.2926,6321.47849,5968.99687,fist
4375.17582,6261.07544,6166.53752,5850.79636,5818.29793,fist
4239.06885,6419.56452,6353.32223,6087.97274,5902.58795,fist
3966.54135,6500.1531,6568.12359,6149.24026,5907.91695,fist
3850.3142,6411.29012,6269.14364,6190.08692,5951.48388,fist
3554.03872,5709.59309,6106.36422,5871.42649,5785.14065,fist
2916.62612,6302.80087,6132.97306,5935.7584,6019.11794,fist
3321.32399,6025.16081,6169.63356,6048.13208,6067.57365,fist
3589.83009,5813.53453,6180.44083,5952.12321,6037.90814,fist
3421.5461,6320.39351,6202.0564,6026.23971,5932.03362,fist
2368.51302,2007.07784,6066.38257,5975.12958,6291.5028,fist
3290.75811,6056.05421,5445.01297,5637.53691,6199.17604,fist
3458.86687,6229.45639,5935.69344,5662.87164,5846.51824,fist
3663.38043,6195.06875,5916.85075,5698.07285,5958.3446,fist
3810.53419,6259.21336,6005.92127,5726.45937,5906.872,fist
3394.52859,6535.93747,6661.78807,6330.49962,5889.487,fist
3870.05367,6648.90499,6790.49681,6478.85294,6230.63182,fist
3258.06884,6780.55173,6905.31681,6761.17759,6272.52688,fist
3397.22847,6777.70997,6981.21056,6798.41026,6216.84301,fist
3440.36258,6757.63194,6902.46962,6755.71516,6193.38632,fist
3441.91842,6800.59879,6988.36134,6819.5927,6179.45209,fist
3439.84935,6792.04694,6905.71192,6756.42929,6166.38597,fist
3407.52305,6862.80279,6985.95595,6804.77984,6186.90158,fist
3855.79809,6492.55805,6922.52633,6470.12495,5852.10846,fist
3832.51234,6375.77548,6682.2109,6281.28021,5845.05773,fist
3835.34233,6394.54976,6730.57576,6322.00448,5851.79887,fist
3885.94107,6389.67966,6778.67136,6386.30671,5837.25014,fist
3930.12161,6378.90087,6671.77192,6275.65162,5888.06457,fist
4135.15899,6308.89467,6276.78304,6031.92836,5751.23941,fist
3723.81802,5858.06822,6142.84726,6202.36825,5917.70007,fist
3029.16447,7107.0721,5849.53303,5472.91797,6309.30813,fist
2971.62577,7191.82627,6770.39289,6233.1757,5935.64712,fist
2858.45407,6915.50589,5607.45892,5231.9631,6091.78387,fist
4473.85479,5788.72549,5903.25871,5758.4479,5161.27133,fist
4023.42137,6343.80852,6216.29032,6110.37773,5877.72146,fist
3973.7934,6841.00444,6506.9668,6281.82226,6120.8114,fist
3916.48576,6863.15203,6534.49802,6148.89259,5973.41811,fist
3891.77196,6788.0119,6535.07839,6178.71026,5897.32141,fist
4061.60755,6690.41489,6228.77882,6217.6294,6017.91654,fist
4373.24765,6627.12305,6302.26108,6277.12891,5931.69448,fist
4422.62863,6394.6195,6520.85104,6215.22164,5829.58513,fist
4191.12434,6072.27336,6253.24904,6138.86091,5770.92228,fist
