thumb-index,index-middle,middle-ring,ring-pinky,class
109.34897,44.20478,37.64099,42.52027,five
115.72517,44.25557,39.09675,44.86918,five
115.24581,42.20459,38.82269,42.70766,five
123.83407,46.25385,41.47041,46.93445,five
123.65224,46.94444,40.68187,48.4141,five
105.12909,47.87521,40.11622,47.52728,five
106.15676,46.74399,43.57664,46.9496,five
123.33245,45.0663,40.35744,45.30897,five
130.88655,43.3874,42.77353,46.76661,five
117.06564,41.66319,40.61547,44.69057,five
110.5789,46.27947,41.44271,46.21315,five
121.94961,47.61571,41.37275,46.87266,five
119.74691,43.15128,40.2453,45.67529,five
112.45377,42.03783,39.66574,46.0209,five
117.48569,45.92995,40.7279,45.88508,five
118.05971,44.35083,38.93832,44.92854,five
124.68407,45.07838,40.5791,46.23278,five
122.35291,43.97374,40.74737,47.1923,five
122.48703,45.55398,40.55201,46.68823,five
118.54881,44.8376,39.6691,46.26796,five
125.51184,45.92366,41.42244,46.88533,five
123.01904,43.12432,41.01072,46.13621,five
117.10747,45.7799,41.17547,46.68098,five
110.42021,44.6703,41.66791,45.47825,five
112.38857,44.35934,41.1059,45.9981,five
115.75777,45.91736,39.61677,46.13794,five
125.71818,44.41685,41.11131,46.3254,five
131.54335,42.32943,46.13025,42.67183,five
120.01709,46.86544,41.89148,46.21495,five
116.42348,41.6953,37.83664,44.95815,five
122.36172,44.88659,40.57673,47.90936,five
120.64568,47.197,39.2637,43.98718,five
118.55974,44.60189,36.65395,44.69858,five
133.55481,44.51376,41.61242,45.79882,five
122.50978,42.81224,40.02637,45.47778,five
114.38844,45.6357,40.65825,45.51999,five
113.54205,45.99406,42.03421,46.24481,five
126.95162,46.00478,41.61486,46.86317,five
124.06807,41.47382,38.7654,45.84776,five
112.47742,45.59888,40.06934,46.1535,five
118.18519,50.4024,41.25871,47.30509,five
127.18548,44.47851,43.70794,49.33878,five
122.52276,41.85498,39.77031,46.29441,five
113.117,45.12455,39.46964,44.93032,five
119.53172,48.11937,40.53189,46.66572,five
126.29346,50.56973,43.72269,48.28329,five
124.71971,49.42505,41.53251,47.17716,five
123.15734,47.58806,39.96526,46.38811,five
121.64124,46.67453,39.49971,46.00489,five
121.61399,48.07396,40.69513,46.22922,five
123.87665,45.3419,40.07425,38.72357,four
112.71262,48.96871,47.34214,45.74673,four
115.23823,47.90224,44.72943,46.71393,four
111.93117,47.63922,45.29963,45.94657,four
112.61919,47.56287,45.30132,45.59942,four
113.6153,47.27401,45.3893,45.26202,four
114.77346,46.90475,45.3349,45.55654,four
114.12027,47.41867,44.94484,45.38134,four
112.54755,50.6203,45.44081,45.53697,four
108.9922,49.04528,42.4591,42.7368,four
111.27482,46.82751,42.75605,38.96037,four
111.40062,48.75964,43.30971,44.32965,four
71.29153,43.61213,42.75731,45.58953,four
75.49604,39.67464,46.58402,52.27336,four
