thumb,index,middle,ring,pinky,class
99.24728,99.65517,103.56459,99.70579,91.45748,five
101.42736,102.7702,107.41701,102.72407,95.14637,five
95.42164,99.00685,104.69664,99.97617,93.97671,five
99.06811,105.60265,112.43396,108.27249,99.96696,five
101.47475,104.66543,112.59447,107.64925,99.84135,five
98.18748,101.51688,107.4699,103.48074,95.15339,five
99.15873,102.15557,104.99577,101.89469,96.10196,five
100.41033,102.59322,108.20287,104.41187,97.62996,five
103.0295,104.77689,110.67953,106.36713,99.3717,five
99.16816,104.28569,111.49392,106.91924,97.44521,five
94.59053,106.55299,111.58894,107.3012,99.0488,five
100.23723,107.69474,114.12929,110.05782,101.33389,five
99.3552,105.53524,111.67097,108.03812,99.20123,five
95.43935,107.48568,113.33807,108.95702,99.36658,five
99.64155,107.74575,114.50675,110.17776,100.69394,five
97.41754,103.209,109.4215,104.90125,97.28091,five
102.08395,105.32853,112.77235,107.80236,99.27239,five
101.00337,106.87561,114.12376,108.84312,99.74967,five
100.31036,107.29313,114.47414,110.26895,100.8548,five
98.32399,105.51389,112.33765,107.80215,99.1151,five
101.16833,106.72704,114.95957,110.43655,101.87449,five
101.90961,105.54391,114.09772,108.99501,99.54301,five
97.31255,107.78026,114.29016,109.80705,100.52326,five
95.77814,107.16779,113.16039,108.80346,99.7806,five
94.74238,108.46984,114.39114,110.1329,100.74619,five
97.65133,106.03598,113.05854,109.13646,100.07792,five
98.50637,106.69991,112.39108,108.47173,100.40093,five
97.24026,104.80935,116.44259,114.63853,105.94188,five
99.95635,107.42237,114.51009,112.30462,102.48406,five
95.49651,108.87733,116.31725,111.19308,99.87459,five
99.70451,109.32433,115.9106,111.21117,101.50159,five
103.33334,104.60163,112.14849,107.17222,96.92998,five
96.87352,101.93268,108.51837,104.18691,95.13899,five
101.01214,108.08241,114.03389,109.77713,101.23792,five
101.31065,107.48632,114.49485,109.35343,99.15885,five
97.06802,108.15073,114.6347,110.33401,100.68607,five
98.84175,103.81054,111.53371,107.47855,99.5289,five
99.52972,108.65266,116.04199,111.2554,101.45544,five
99.73602,107.0391,113.11272,108.43327,98.57663,five
94.94891,110.25627,116.68262,112.09071,101.76785,five
98.81327,107.2175,113.88037,109.36484,100.03496,five
98.19796,111.37658,119.21145,113.32869,103.82057,five
99.93407,108.34977,113.82885,109.01199,99.09267,five
93.33402,109.50102,116.06586,111.52747,101.08868,five
98.56158,109.75449,116.86466,112.14169,102.23021,five
100.29516,111.95001,117.30943,112.75671,102.84444,five
99.9481,109.72221,115.47832,110.50654,100.76633,five
99.38702,108.91781,114.96772,110.08246,100.63988,five
99.79691,108.82583,115.55724,110.85947,100.69371,five
100.40092,108.87913,115.57162,111.32056,101.39042,five
55.43233,106.86958,109.84366,101.54774,91.64981,four
51.51955,110.6058,115.38856,109.95958,96.69687,four
53.97898,108.96397,114.44286,108.67819,96.97902,four
53.15961,109.17703,114.3498,108.58259,96.08343,four
53.02881,108.74616,114.45692,108.91116,95.16611,four
53.678,109.00966,114.31161,108.70547,94.37896,four
53.83384,108.9423,114.48003,108.75168,94.7387,four
53.47853,109.01245,114.43249,108.80343,94.66928,four
52.94402,110.12695,116.1845,109.9323,98.48632,four
44.09934,109.28481,117.20079,109.52099,96.21212,four
46.80281,107.61671,113.18828,107.75898,94.4978,four
48.47713,110.0883,117.5312,110.36491,98.62634,four
64.34031,110.931,115.78391,109.00391,95.65939,four
59.14431,107.40886,114.5747,104.27308,78.40753,four
44.56258,108.07967,119.13786,110.64671,94.13359,four
46.25731,108.95673,117.02376,109.87113,88.73137,four
47.74259,109.90608,117.37996,107.92812,90.64272,four
42.85831,110.22861,118.72606,110.054,94.65939,four
35.70755,107.75395,117.84828,111.66966,99.77348,four
34.69798,111.89522,118.44952,112.44025,100.59869,four
30.73489,110.26325,116.74506,110.50092,99.64484,four
20.51274,107.42478,115.25549,110.10876,99.93755,four
32.76119,110.28748,104.73299,109.91257,98.25344,four
60.84477,110.52435,111.82509,99.99985,69.86302,four
58.90045,111.97608,117.30757,106.95505,87.75395,four
39.27823,110.82705,119.02663,111.68906,100.72668,four
46.2054,112.35416,119.62241,111.70485,100.05043,four
50.51751,109.45103,117.36803,111.31505,98.59776,four
58.1708,108.36215,117.00117,111.49365,99.29165,four
64.61277,104.92366,112.94843,109.85319,98.65243,four
46.11617,98.60972,103.27522,107.42216,100.92328,four
54.84016,104.88639,105.29023,103.37037,96.63087,four
73.42214,113.90605,118.99926,110.98637,97.92418,four
19.0682,106.01427,117.98101,112.94775,99.62828,four
43.12535,105.72118,111.88741,109.98928,98.79311,four
27.95692,106.12695,116.20551,111.78442,100.85999,four
39.9201,108.39131,116.88491,110.73335,98.47188,four
41.79018,106.50044,118.17818,109.61631,96.95612,four
44.23701,108.00928,118.07639,109.34846,91.97347,four
44.27598,108.47639,118.59998,107.71902,93.63844,four
45.56662,109.26517,116.99485,110.94148,98.65923,four
48.20916,109.38163,117.77873,111.63766,98.54124,four
47.38475,110.86658,119.61787,113.18578,100.59438,four
32.99226,106.9121,117.96172,112.39776,101.11063,four
35.70455,106.60748,117.18038,111.43309,100.07291,four
37.14412,107.06049,115.39682,111.14675,99.25213,four
46.11003,104.26389,117.08102,102.39799,75.8467,four
47.83267,104.88076,117.76534,80.51998,82.13323,four
