thumb,index,middle,ring,pinky,class
1159.88995,395.54493,757.93484,851.93141,1453.3862,five
1029.78564,421.44699,1263.99461,1057.45169,1424.3525,five
307.71661,1607.8197,2446.60655,1639.12381,1652.70417,five
322.24888,1576.57209,2438.7943,1647.82221,1645.21945,five
313.28726,1656.7523,2556.11158,1719.89848,1662.61387,five
454.68706,1622.77598,2632.97131,1818.83495,1463.89494,five
1404.82609,649.45021,1708.27508,1401.03798,1367.17643,five
1102.63432,529.19638,1924.77379,1780.33284,1612.02807,five
1044.39578,775.40261,1313.41837,1136.83966,1606.96764,five
2517.6716,1183.17968,1790.53866,1321.08925,1676.51758,five
2097.43649,2749.69545,3080.59519,2464.19621,1962.01076,five
1388.22047,1561.3051,1972.96198,1700.51733,1827.78118,five
2638.34185,782.05584,856.2116,1042.96863,1743.26518,five
1479.15364,954.23502,495.64612,1241.2809,1675.13707,five
1180.29412,1062.01805,787.3488,514.11248,1349.5587,five
1787.27634,1251.29198,1021.34546,917.97595,1582.31409,five
4501.22481,6463.08138,1191.22618,1705.21185,2169.20562,four
4554.62326,6475.82832,1119.99812,1664.63931,2026.42469,four
3018.60549,1030.2886,1459.06535,6525.69215,5999.83287,two
3506.61836,1616.00134,1386.45397,6120.59835,6053.11073,two
3139.45303,1091.66855,579.62421,5870.66718,5807.05244,two
3597.66959,1208.87342,1046.80658,5715.60618,5436.84793,two
2554.22558,1432.15062,4702.28356,6242.24271,5835.40784,two
1558.85904,440.28296,560.10351,864.62735,1469.78746,five
1225.58896,1493.53428,1701.5623,1408.9668,1902.27883,five
340.36705,1676.68994,1786.39316,1598.00973,2142.76921,five
1281.07114,859.96119,660.7148,921.28402,885.72624,five
1171.49124,744.35536,727.427,1070.7667,1009.22969,five
1262.44974,669.48997,731.33052,1049.67471,963.47034,five
