thumb,index,middle,ring,pinky,class
96.89907,102.17014,106.46853,101.1501,93.48634,five
99.19152,101.822,105.72771,100.63253,93.12926,five
97.45339,100.73228,104.77562,99.74722,92.46797,five
93.23421,99.4628,102.91823,98.68716,91.46115,five
92.7855,99.5696,102.47674,99.11192,91.72383,five
100.74263,102.08426,106.03152,102.99168,96.19241,five
99.55175,102.96655,106.0805,103.00542,96.13567,five
99.78111,102.96085,106.58694,103.46651,96.32018,five
99.52168,103.22598,106.55814,103.39397,96.33045,five
100.08185,101.75472,107.19813,104.29139,96.95385,five
98.66074,98.98329,103.29257,99.83611,92.89886,five
96.85693,98.12493,101.2922,98.208,91.20702,five
97.70311,98.70696,102.62497,98.70914,91.6601,five
100.54408,100.36038,106.10183,102.21355,95.49081,five
101.11968,99.06308,105.14641,101.98917,94.87173,five
94.87573,100.97675,104.56644,101.54485,95.78404,five
101.32554,100.95218,101.84727,98.59352,93.52181,five
95.88822,97.39674,103.1423,100.78903,94.55591,five
85.40091,85.72787,107.97806,106.63246,99.5436,five
98.63608,98.67907,105.02631,102.604,96.71082,five
99.303,99.41613,104.39223,101.28438,95.30214,five
100.98336,105.09991,107.89391,104.19708,98.44366,five
89.12927,99.45938,101.78023,97.09589,92.72802,five
101.96904,100.29685,108.55907,104.54184,97.434,five
102.07314,101.90894,107.27619,103.24906,95.81339,five
103.83197,100.41683,105.51308,102.71151,96.83721,five
101.95373,105.70619,107.22781,103.6757,96.33665,five
101.22324,97.03174,103.32778,102.02757,97.07632,five
104.49291,102.45555,106.71796,105.05792,99.78333,five
98.83504,103.95763,106.56213,103.50115,97.80488,five
98.18568,99.61825,107.1394,103.8283,96.83511,five
103.80202,102.98917,105.03222,101.95902,96.54077,five
102.05594,104.70162,106.64523,104.08192,98.19806,five
101.18666,100.51948,105.41234,102.02626,96.54777,five
102.42658,98.91475,106.86159,103.3127,96.79521,five
99.01881,101.74363,109.92902,105.74267,97.69827,five
99.84917,101.25286,108.8094,106.28949,99.56047,five
96.686,101.90826,108.97585,106.41599,99.36879,five
99.92493,101.89209,109.01578,106.77133,98.28624,five
104.86954,103.71665,108.8086,103.30934,94.65783,five
103.27303,101.21785,105.7915,103.15697,96.60732,five
103.18536,104.51997,111.14773,107.53476,99.82603,five
102.87321,102.14754,110.22472,106.5958,99.07603,five
104.11176,104.38034,109.87001,105.93913,97.60435,five
100.41964,103.55515,109.09779,106.05138,98.18618,five
101.32195,100.21802,107.10065,104.3749,96.60321,five
103.24283,99.81187,103.63398,100.23923,95.06998,five
104.49005,106.38499,112.39819,108.9689,101.46851,five
102.75803,105.73858,111.18254,107.13378,100.12579,five
101.89005,108.84673,112.73396,110.43674,103.53015,five
105.74604,107.96471,112.08852,109.8457,102.52992,five
105.34891,109.33569,115.3313,112.55967,104.9239,five
103.992,104.86186,109.61493,106.78025,101.15285,five
103.82096,104.45648,107.01033,105.18166,99.88503,five
106.62711,109.09292,112.30502,110.02151,102.46091,five
106.02087,103.85606,108.99757,108.11051,102.43026,five
101.69965,104.74834,112.27094,109.62068,103.15089,five
101.86386,105.2132,110.04146,108.75523,102.68597,five
104.47717,105.5225,109.66071,108.09039,101.94257,five
103.75449,104.08855,107.92537,106.06306,100.26257,five
57.74801,105.25417,109.55869,102.86788,92.34103,four
57.60746,105.81187,110.85004,104.14814,93.50901,four
59.28703,105.67069,110.51771,103.22446,93.93252,four
60.98569,109.78873,112.15736,104.1648,93.97945,four
56.75582,111.1172,114.44656,109.73153,99.25883,four
59.24113,108.77374,112.05267,105.60258,94.59798,four
56.45116,102.04729,103.29357,100.01884,90.7486,four
52.66719,103.64874,107.96357,101.30119,92.10065,four
54.89508,106.11981,111.56784,104.03937,92.56613,four
48.58194,107.45134,115.45068,108.56447,97.74203,four
32.17614,106.87577,114.00768,109.15564,97.95624,four
39.51065,103.54972,109.52689,103.35221,96.63802,four
49.63515,103.96848,105.51771,101.44837,90.79599,four
54.62669,105.31142,104.80879,102.92865,94.71035,four
52.48806,109.03474,111.54571,104.44642,95.64678,four
51.91946,105.04574,112.77937,106.05293,95.55878,four
49.91061,110.89522,116.55083,110.31815,97.49538,four
38.21927,105.74944,113.54209,107.6968,96.4111,four
44.18203,105.50547,111.5256,103.65674,94.82984,four
50.22055,108.3171,114.00734,109.11664,99.07552,four
52.01414,106.97742,109.35521,104.61949,96.14022,four
54.94983,109.09047,112.12614,106.63307,97.70953,four
51.78094,108.21778,115.38774,107.52218,96.87071,four
51.31159,108.23453,114.07426,109.32745,97.89562,four
55.14078,107.10746,107.5182,107.5007,96.99053,four
54.9785,102.94108,102.98563,98.28285,89.17611,four
54.23928,104.83722,106.14563,103.71751,94.70264,four
52.96939,107.22379,111.92297,105.39503,95.6617,four
49.15324,110.22714,115.96432,109.4387,98.43241,four
51.08939,112.47176,116.06374,111.35431,99.98143,four
53.24624,107.59669,109.77929,103.45004,93.39205,four
55.08247,104.1426,102.3816,98.83202,89.6515,four
53.23449,104.70272,105.09163,98.92825,89.7224,four
54.38783,103.82521,104.40105,99.95143,90.7482,four
57.64859,103.84077,103.59164,99.73022,88.71737,four
57.49774,103.84469,104.88801,100.67067,86.05405,four
55.84467,104.03503,105.15859,101.54815,91.26567,four
54.68619,105.47648,109.44508,102.25638,90.95824,four
53.35445,110.3269,112.94947,107.37222,96.82987,four
54.36109,111.42883,114.10324,108.33678,97.58369,four
54.84491,108.75996,113.77222,105.01885,95.08311,four
33.49376,107.32895,108.39819,100.04919,90.0868,four
32.00765,103.11832,104.97516,100.23733,91.0457,four
49.28753,101.37178,105.24576,101.14104,91.03016,four
49.2378,102.84547,106.24388,102.15892,90.00171,four
44.48499,101.55476,104.60781,100.15688,90.69968,four
53.59743,105.50633,107.7468,102.37888,92.76913,four
52.93483,107.07524,112.42882,104.91713,95.46038,four
52.4887,109.42722,113.73122,106.77231,96.55279,four
57.82538,104.12909,108.18972,102.80304,91.66471,four
97.33875,102.51509,106.83319,102.01875,93.84779,five
97.42752,99.73009,103.50516,98.39816,91.42739,five
96.4054,97.5807,102.68706,98.02525,90.58113,five
94.65724,96.764,100.7102,95.63087,86.38759,five
91.92285,96.95036,102.57444,97.65374,89.1932,five
94.40995,97.28361,102.54703,97.76657,87.32586,five
94.40851,97.13195,102.41108,97.69118,87.25211,five
93.89918,97.3212,102.63331,97.9071,87.61594,five
93.9595,96.50466,102.02351,97.09291,84.56763,five
93.33816,95.3793,101.435,96.84025,86.24232,five
98.11619,94.87837,102.18827,97.11701,87.91673,five
96.76287,96.44102,100.91428,96.32822,89.13519,five
93.49502,94.29582,100.29735,95.63634,88.26865,five
94.05031,97.44316,102.84962,98.91225,89.71259,five
95.17089,97.9776,101.59072,96.91978,90.33562,five
95.43864,98.1221,101.84212,97.13445,90.5922,five
95.27843,98.12672,102.23182,97.64507,90.96898,five
96.20388,98.59148,102.55579,98.00172,91.252,five
96.24283,99.83657,104.08048,99.90336,92.94897,five
58.81472,51.97729,98.49267,94.47473,87.47843,four
59.14881,51.13753,98.44255,94.60608,87.53642,four
53.06852,100.12688,99.26332,47.27303,43.21991,two
49.93662,99.83742,105.29699,40.1556,40.10857,two
53.93806,99.23286,100.05973,36.21134,37.20066,two
52.61297,99.63619,102.00048,39.42083,38.19859,two
57.00629,98.38805,83.86692,44.0323,40.25829,two
