thumb,index,middle,ring,pinky,class
1253.30394,581.24556,696.89907,970.91893,1733.4924,5
963.64797,844.30189,966.53189,1123.73453,1728.84284,5
1517.87192,1615.58006,1731.48781,1367.76836,1662.04657,5
3023.38767,1795.05908,974.03268,1411.12966,1921.66673,5
2447.71357,1026.88301,802.02179,1320.26133,1789.02679,5
914.69196,1012.41877,438.50434,706.49204,1396.89989,5
933.64545,1292.28227,1265.64336,1063.97498,1590.51774,5
944.74415,1162.83293,1348.11959,1149.32342,1460.80923,5
2439.52239,1119.66336,1271.95167,1314.46678,1864.93895,5
2231.54284,902.12113,1274.21575,1485.0668,2113.16624,5
2369.48824,442.85922,718.22819,993.14383,1717.67014,5
467.49855,1062.33849,1515.68789,1351.0889,1776.56556,5
3191.47108,1105.88274,466.1842,720.00913,1431.04103,5
3129.29786,1464.13454,817.29806,689.51865,1366.87052,5
2792.12969,633.54404,392.29784,605.22261,1504.68528,5
2441.52663,396.35222,664.72301,937.01233,1669.92617,5
1116.41507,49.67361,891.10801,962.55795,1579.84589,5
458.42514,581.91631,1090.77619,1004.86863,1521.07308,5
191.73354,293.8202,626.86388,936.19772,1462.73475,5
1888.55607,183.16491,976.58837,1189.78884,1593.02103,5
3412.36664,1113.32377,1053.48758,1265.77602,1614.02244,4
3441.1495,1377.06131,1389.67172,1196.34411,1613.26351,4
3023.61126,693.33476,922.07031,1133.59282,1737.24713,4
3735.64692,546.4428,910.68163,1031.08479,1517.42334,4
2908.80533,1340.34666,1042.33643,531.77608,1176.68263,4
3353.22637,1019.79741,1745.53784,1707.00489,2134.69787,4
3434.78507,552.81525,1210.46196,1596.49163,1911.99933,4
3690.2906,865.37182,600.91883,900.88538,1259.05734,4
2596.97759,253.62454,671.57211,632.40857,793.12481,4
3928.94704,1461.12984,771.60147,869.85787,1207.59613,4
3284.8337,301.27868,1683.3252,1373.90559,1449.43164,4
3504.74678,296.20315,1138.11892,1405.9987,1547.41886,4
3793.08099,455.0983,1301.16468,1968.24406,2380.96171,4
3729.45775,355.28653,750.44832,1377.46544,2095.20646,4
3284.89451,776.36861,1496.82619,1766.94514,1922.35152,4
3160.19006,436.93911,671.27174,896.9696,1228.68605,4
2540.11223,1107.75987,692.51577,961.69325,1317.52857,4
3228.27214,984.60674,1326.21949,1657.24004,1933.29521,4
2619.91411,1181.93324,1568.52211,2272.32343,2619.22526,4
3453.50805,914.3064,1335.71574,1671.95855,1937.22287,4
4431.07749,5667.45853,1572.76519,500.80295,1006.37953,3
4036.16865,6730.6824,1463.40324,1137.23185,378.01765,3
3993.86353,6949.66041,1326.34187,380.95515,797.734,3
3819.30354,6660.96238,910.53091,285.45554,979.32037,3
3667.19423,6952.45726,657.1111,589.64326,1132.72732,3
5064.15254,6767.71095,1197.56962,426.82291,485.23719,3
4437.66233,6846.46938,2361.09228,541.71822,419.36941,3
4044.84509,7010.31929,2557.59621,1217.40597,124.871,3
3046.15767,6673.04284,1964.54065,1211.7686,694.62591,3
3286.74933,7283.11085,1428.67844,352.45115,464.64941,3
4193.46155,6939.43965,1049.62412,488.64584,836.27358,3
4514.70517,6742.57106,2199.97669,1421.49748,988.31933,3
4621.58956,6705.69478,3292.59772,2938.2449,1554.16295,3
4440.72607,6339.39997,2765.63909,1955.00999,973.42565,3
4020.23556,6520.13187,2730.15222,1831.07673,965.51309,3
2957.59464,6592.34843,2299.27166,1822.63885,915.6873,3
3346.29687,6369.31765,2758.49681,2138.6851,1297.91932,3
4545.62288,6289.65849,2840.26261,2388.69495,1385.76074,3
4800.10488,6514.3311,3014.31228,2405.36982,1496.6457,3
3304.52907,6698.89418,2459.13712,1942.83852,971.33621,3
4344.81702,830.73426,1112.43961,6304.7161,6414.16589,2
3922.35869,806.18131,717.53625,6338.39392,6104.03481,2
4274.38273,1190.36606,1490.93691,6612.4331,6263.3673,2
3503.58614,1735.30335,713.34582,6660.42852,6539.98169,2
3711.56992,1318.68709,1838.03159,7018.43833,6259.10799,2
3958.79625,726.22525,1170.62985,6534.55674,6150.20189,2
4226.39436,558.1604,1418.65617,6729.24438,6341.71268,2
3764.34892,2096.61628,2088.38105,6566.81132,6484.85704,2
4325.53136,272.50064,1355.17324,6527.87023,6110.96156,2
4113.19287,750.59817,1218.14925,6603.79282,6298.06708,2
3998.87768,598.93339,1245.96265,6402.07855,6355.1275,2
3939.95663,862.76053,1197.30939,6414.57843,6297.52089,2
4147.67126,304.29458,1223.07775,6683.53749,6353.73361,2
3961.63189,443.2165,1111.60247,6588.7196,6248.12471,2
4058.30664,1395.46613,1795.46737,6722.78154,6445.25514,2
4046.15737,1098.87818,1534.90343,6376.24291,6312.20563,2
4348.35592,777.35308,1493.50533,6363.5698,6198.55494,2
4191.55023,220.97711,1177.96583,6597.97006,6073.94764,2
3909.76761,747.47745,1169.14676,6624.93101,6198.091,2
4051.86045,449.68817,1348.65427,6619.1062,6224.34358,2
2571.3093,1856.24177,5680.48244,5666.14816,5954.09791,1
2818.16868,1526.25047,5848.45733,5864.81465,6208.21229,1
3241.64463,1331.40041,6311.89493,6241.99334,5894.57462,1
2506.47782,1600.21386,5923.0472,5998.87754,6042.05098,1
2095.85419,1348.56469,5814.35258,5922.53055,6216.78325,1
2613.62323,4520.88278,6443.73043,6322.94908,5724.55093,1
2324.71646,4373.49334,6617.09077,6228.61181,6122.33794,1
1710.83752,3837.49616,6135.17588,5868.93979,6266.16575,1
2327.00626,3628.09129,5666.14847,5599.25124,5798.56305,1
2901.14491,4675.54696,6496.95886,6203.9613,5667.71857,1
2501.05719,2381.30077,6372.376,6354.75292,6029.14289,1
2546.49284,920.40933,6412.47046,6193.89762,6236.53491,1
3007.22824,1645.9804,6507.66632,6382.64042,5969.79227,1
4055.94664,1359.19372,6044.56099,6149.05523,5482.93342,1
3435.50443,1296.20575,6400.16595,6136.67191,5645.14894,1
3083.71641,993.4893,6413.96771,6343.8751,5943.39828,1
3139.66103,1334.78197,6591.1992,6342.12975,5963.22514,1
2451.97804,1492.51371,5854.92266,5859.88752,5840.12266,1
2973.66905,1200.16964,6538.61939,6403.35934,6131.67761,1
2067.6053,698.82751,6294.89641,6163.62826,6098.0559,1
2986.79319,5727.50032,5596.21625,5882.27639,5621.17039,0
3599.12721,6116.36943,5331.57387,5387.2963,5452.16323,0
2650.49995,6063.74503,6045.31508,5901.30509,6087.53948,0
2739.05374,5565.94837,4298.49218,5172.85388,5499.34298,0
3514.12134,6337.39693,6307.83974,5947.39911,6182.2926,0
2403.96221,6981.52521,5897.25534,5598.826,5719.88621,0
2780.70785,6510.74689,6306.71172,6271.06429,6368.90696,0
1988.43843,7283.72863,6223.91357,6165.56348,6501.28282,0
3225.97628,6427.73491,6468.17515,6199.56279,5748.68231,0
3629.42179,5446.44595,5957.5132,5913.39422,5863.15368,0
3245.01239,5708.98822,5500.85007,5452.65327,5621.36041,0
3352.88964,5534.29058,5549.27625,5571.65077,5791.58763,0
3538.85333,6460.12467,6593.17618,6371.19,5837.45586,0
3614.57922,6480.23584,6408.12667,6135.3111,5666.07925,0
3432.99768,6416.10797,6636.28051,6344.62637,5666.43955,0
3765.99805,6546.60714,6355.69082,6162.79371,5766.73196,0
3430.23108,6468.55763,6362.93207,6258.37172,5698.46839,0
3616.46774,6421.4912,6258.69502,6181.32486,5650.5848,0
3770.13601,6103.94445,6263.4979,6122.84144,5664.30139,0
3532.21213,6119.70842,6179.22297,6010.31285,5587.90674,0
3649.31682,6231.24555,6130.78454,6111.28074,5630.85259,0
3676.69051,6136.20515,6370.92161,6289.32703,5619.78631,0
3706.3152,6173.19429,6436.42952,6338.055,5683.05827,0
3722.36259,6199.58165,6470.7069,6299.01311,5637.68442,0
3630.84349,6128.57638,6299.74251,6216.94236,5623.52637,0
3660.80224,6131.42692,6289.64082,6185.50557,5521.56418,0
3608.00016,6210.25762,6342.47796,6235.66847,5535.0114,0
3732.1758,6112.39246,6445.21745,6270.62301,5587.18763,0
3673.73083,6136.01715,6329.56869,6143.85504,5515.59338,0
3561.27651,6159.83744,6218.41793,6099.28019,5548.15746,0
3663.57035,6221.45529,6230.80994,6021.82867,5358.70585,0
3667.35198,6141.07351,6303.20016,6122.03065,5446.18789,0
3674.22627,6120.80083,6148.42749,5986.36972,5384.87404,0
3638.26067,6241.23308,6254.24369,6043.64258,5421.58418,0
3683.05201,6338.8882,6279.72575,6050.29294,5443.57034,0
3743.93961,6209.11681,6255.69293,6008.40099,5404.31488,0
3643.65106,6227.22994,6218.87447,6004.63259,5484.23299,0
3700.78982,6283.86483,6326.3033,6093.95881,5529.91939,0
3682.44634,6347.61876,6383.79644,6102.2835,5543.87325,0
3653.22701,6321.59435,6257.28097,6028.87423,5470.51284,0
