thumb-index,index-middle,middle-ring,ring-pinky,class
102.33437,46.98112,38.92572,43.73639,five
103.19814,47.55114,38.93325,43.38544,five
111.85471,43.37857,39.18188,44.67839,five
94.87027,55.02938,40.09851,45.01064,five
94.47432,48.34559,40.45334,45.05865,five
97.02807,48.07499,39.20003,42.93512,five
111.3367,47.01184,41.37154,45.11145,five
107.54837,44.11403,39.37397,45.66744,five
105.84344,45.40957,40.08225,46.19186,five
100.73417,49.13693,40.22201,45.72452,five
103.0841,44.84317,39.16281,43.8652,five
113.37673,46.96303,40.09231,44.23067,five
96.27991,46.27513,38.27226,42.64666,five
98.45368,44.27819,37.50291,41.98265,five
103.66611,44.71447,37.38415,44.79045,five
105.57883,44.84184,38.34169,43.06304,five
111.84894,45.33894,37.83725,41.88926,five
112.70616,45.33538,39.18123,41.43653,five
112.4247,45.50459,40.374,41.05201,five
109.5449,46.16219,39.51099,42.31359,five
123.30125,48.96971,38.06337,37.62664,four
123.21263,48.1692,39.76783,38.95489,four
112.749,43.49074,41.36422,39.88766,four
119.21079,43.18257,41.17338,40.32706,four
95.66369,41.72586,42.87698,42.15205,four
108.7949,40.8553,34.46025,39.74257,four
114.2813,39.54108,35.49477,39.47702,four
120.27794,42.96725,38.59439,40.38402,four
102.6432,40.88187,36.12219,39.60712,four
128.83122,43.90173,38.60335,41.69487,four
109.63172,39.10305,37.67161,40.65546,four
114.84637,43.13736,35.74452,37.85077,four
120.87663,41.15454,37.07769,36.65588,four
112.78233,41.46609,38.7225,38.94254,four
108.74461,41.93061,36.90711,37.94744,four
105.31731,43.27872,39.01245,41.9867,four
83.33608,44.71079,40.41592,41.70595,four
107.40334,44.20759,38.27761,38.78807,four
91.71986,41.60069,36.40279,35.08934,four
108.2871,45.78618,33.76612,35.03664,four
15.62662,90.00523,32.07407,40.18459,three
15.46391,93.69578,31.51122,39.05647,three
18.44217,105.11567,35.96727,41.65174,three
16.87393,85.01029,34.85917,42.08443,three
16.87311,97.09593,38.09661,44.49387,three
10.04869,90.69688,37.43008,36.24658,three
11.90634,87.89776,33.94891,38.65112,three
12.32312,89.5508,33.41866,41.73256,three
35.55392,99.42258,32.87901,40.8832,three
21.42763,102.64716,35.14444,43.35099,three
13.83003,89.49391,38.27379,40.63356,three
8.14151,80.00027,33.11941,34.93856,three
9.81612,79.3726,31.12002,36.88825,three
12.35645,81.26077,32.10066,38.67561,three
15.90849,74.66956,34.07825,39.4474,three
30.57055,82.40877,33.14222,39.06451,three
19.88646,75.44868,30.51812,38.48666,three
16.28194,85.71143,30.15755,35.15297,three
19.44212,88.70052,30.56557,34.64083,three
32.62979,93.55492,33.84244,39.79227,three
119.19501,41.56258,126.59776,16.202,two
108.02921,40.78761,131.31404,16.19005,two
118.36668,42.21003,131.22115,16.02321,two
101.06454,34.75089,122.45029,14.64097,two
111.36862,53.05111,114.43038,15.18162,two
105.40838,41.86337,121.2906,15.23469,two
113.71764,46.27286,126.62682,14.04537,two
119.54191,50.02793,110.66294,14.73183,two
111.1434,50.34875,123.73418,15.07868,two
110.75691,44.07184,120.22134,14.80444,two
106.80318,45.33171,119.06863,12.67086,two
107.85375,43.24715,115.56133,13.43789,two
112.57584,47.29313,125.61117,13.94809,two
107.26682,42.91563,124.80951,15.18663,two
116.26392,48.3082,121.49328,11.06063,two
109.23209,45.64635,118.97269,13.09252,two
114.88941,46.51473,127.67391,14.67992,two
110.67719,45.97845,119.09818,15.03193,two
106.38036,41.20404,121.43436,15.20111,two
109.59165,45.97388,115.50224,13.34629,two
82.12537,110.44524,14.92953,15.01459,one
82.89635,109.12018,15.01998,15.43516,one
88.55482,113.97011,13.56464,14.85845,one
92.5557,114.95789,14.5611,14.27969,one
83.64027,113.77036,15.46309,15.44174,one
46.49228,61.13508,20.30936,16.6231,one
42.17233,74.18906,15.90893,16.07484,one
49.45322,70.34689,13.85519,14.37613,one
42.77597,73.82467,10.24906,13.7016,one
52.36402,89.34457,13.93491,13.90864,one
71.26309,105.46022,14.63541,15.30218,one
83.65166,115.06896,15.43469,16.54301,one
79.67709,115.07044,13.21068,15.51028,one
80.54324,98.87038,11.48172,12.73688,one
90.38663,113.4957,10.98992,15.79236,one
86.00127,113.60633,13.36974,15.79928,one
87.82848,109.12933,14.78514,15.88658,one
82.23792,113.96195,14.79322,14.01151,one
86.21388,115.44933,14.11098,15.60316,one
80.39066,112.06422,15.65726,15.82022,one
53.95977,13.22032,12.80647,14.97199,fist
45.74094,16.79861,14.48368,14.58875,fist
29.72309,50.20414,13.48827,15.71732,fist
39.22202,14.46365,16.16607,16.61539,fist
28.90762,18.68009,14.53458,16.19701,fist
26.92781,27.28102,16.9968,16.68846,fist
14.07038,37.83847,15.7753,16.50406,fist
14.58172,38.76228,16.57063,16.85404,fist
46.35073,10.79039,13.14524,15.44115,fist
42.63122,12.42546,13.14122,15.13427,fist
48.33799,15.34006,14.11978,14.16649,fist
44.0271,12.96356,15.36154,13.65307,fist
42.67781,11.82312,13.65557,15.19324,fist
44.14184,13.08058,13.19599,15.48304,fist
47.40819,13.07902,11.29944,14.55142,fist
38.15968,9.89331,12.75081,14.65859,fist
44.94569,11.92327,12.73107,15.32787,fist
41.8372,11.12583,13.88097,15.58028,fist
41.06414,9.93611,12.329,15.40419,fist
45.49857,12.87069,12.30339,15.12121,fist
45.3503,11.92068,12.07268,14.90646,fist
46.68852,11.2924,11.55876,14.73872,fist
46.29936,11.2972,11.54308,14.79028,fist
46.1671,11.28403,11.65196,14.88294,fist
47.02297,11.22913,11.60787,14.99613,fist
47.4325,11.40928,11.52815,14.88334,fist
46.78857,10.9918,11.5326,15.00074,fist
47.51426,10.89992,11.10079,14.93124,fist
47.36439,11.0519,11.44038,15.15908,fist
46.53529,10.8479,11.85247,15.2669,fist
47.52423,10.2086,11.8032,15.37097,fist
47.84519,10.41723,11.33976,15.2552,fist
47.6253,11.07835,11.93667,15.2532,fist
46.97375,10.3642,11.88608,15.49607,fist
46.18403,10.54593,12.29917,15.4706,fist
46.81346,11.08167,11.93056,15.45981,fist
45.89946,11.16738,12.0071,15.51742,fist
46.11711,11.19214,12.19681,15.29754,fist
45.74184,11.3768,12.33525,15.53965,fist
45.88483,10.98386,12.4248,15.53714,fist
