thumb,index,middle,ring,pinky,class
1134.0744,526.66401,1656.758,1569.9892,1938.01105,five
653.98178,645.01479,969.75154,727.49565,1104.43193,five
2715.63415,696.47415,1177.96299,1704.32132,2712.95825,five
602.98686,331.15468,792.71703,915.58792,1368.85001,five
665.0986,868.66843,807.15592,1485.01648,2080.56581,five
569.04818,1069.60293,750.01638,1013.8171,1537.02618,five
467.13887,410.88111,646.42746,756.39826,1021.1125,five
1142.8552,943.57391,976.58593,786.891,1192.09855,five
1700.48296,1870.37769,1202.20297,1824.44339,2682.20719,five
790.2964,820.40811,537.69403,910.7333,1565.67306,five
68.74794,1571.97156,270.86125,652.03768,1459.3445,five
1084.19659,443.97276,1031.83052,1980.87833,2730.85768,five
1452.23644,188.30666,817.73508,926.50609,1322.69922,five
48.06677,623.00903,1615.01157,2145.84577,2708.18184,five
1881.06396,1134.90192,1646.27345,1543.97317,1630.05138,five
722.24596,655.4636,411.56385,1249.73229,1614.19001,five
387.61032,1726.05216,2571.84661,2650.24234,2980.87446,five
886.87233,1462.56833,2488.83272,2213.4246,2323.87977,five
2772.35518,282.76575,761.56303,1040.02003,1861.61875,five
807.13822,1610.48621,1392.04216,2027.60117,2584.45879,five
1870.94953,812.96099,646.34676,972.77556,1862.35334,five
1936.89597,544.36453,427.27825,865.57209,1634.65103,five
807.82137,1655.31529,1896.95001,2359.21393,2694.96714,five
587.30111,1062.77158,697.32408,1197.79786,1877.83925,five
2660.52052,1262.82411,1893.24938,1700.48132,2084.43287,five
1600.50666,1902.18433,1789.14498,1506.44066,1574.04966,five
581.80583,611.26381,1881.38694,2767.67002,3348.11485,five
2587.72338,673.60908,750.02346,1473.45234,1739.22255,five
816.21908,1809.29316,1978.86236,2274.39606,2618.6117,five
1538.3989,1710.28355,1433.01703,1151.5964,1482.4316,five
1041.93396,2038.60903,1904.26099,1874.58635,2179.09477,five
1737.79723,1307.18436,1741.40802,2787.95263,3361.72323,five
1230.51481,1015.51033,756.31105,644.27887,1048.2816,five
1576.94689,2039.90123,1757.32023,839.19732,1695.75043,five
441.7994,760.7491,2381.75441,2616.35211,3048.62155,five
2186.05888,783.32913,467.63171,991.53801,1824.90005,five
1704.64847,1799.02214,1636.07053,1362.26434,1678.01268,five
150.89291,942.89955,2266.29544,2505.3216,3084.50182,five
2358.66028,1437.02466,1560.88264,1467.98442,1864.50033,five
575.02435,1365.73492,712.01661,494.27567,1385.64206,five
102.82722,1070.94647,1781.10037,2382.31351,3151.70432,five
2064.67034,876.71153,372.53425,829.91739,1693.96469,five
572.77251,1777.43886,1799.26944,1637.49917,1968.05445,five
471.91052,460.82712,1994.10068,2115.61386,3003.59132,five
294.62531,767.36667,1405.68445,1753.86121,2103.78252,five
633.12811,671.90101,1095.81425,1256.65463,1744.39968,five
356.86553,731.33362,1883.63616,2443.12103,3072.23835,five
1937.56395,1312.62211,457.96641,571.22314,1460.67829,five
694.52863,1052.19095,1463.00143,1413.28223,1592.38175,five
346.75433,586.13554,1620.29214,2060.02084,2949.66741,five
1140.90533,289.27074,1064.83962,1296.1842,1523.02828,five
586.48139,2637.47984,1950.30473,2191.84878,2648.8502,five
504.58214,920.16101,408.5101,992.94145,1748.45661,five
1040.72664,1599.99898,2516.28524,2275.81688,2378.63553,five
616.16526,1168.83514,2231.877,3323.10227,3355.37094,five
1384.82662,1034.9521,2009.74134,1980.13779,2138.66567,five
435.99326,1146.90113,2328.90367,2687.58871,3215.42433,five
1471.27725,985.60761,2135.54052,1950.16357,2065.47672,five
154.11594,982.36739,2361.02059,2797.31186,3359.33043,five
121.15868,1648.69344,2877.53718,3557.09351,3320.08663,five
2222.35171,295.8532,1262.63187,1674.38985,2186.11759,five
413.55811,2607.27887,2501.25612,2368.12806,2510.81032,five
3331.53681,2156.57515,1995.97707,1614.3199,2468.56556,five
2815.53274,2805.91914,3100.56622,3105.18859,3255.60967,five
514.38102,1796.99653,3161.28062,3154.37314,3277.64262,five
857.51536,1164.57728,1165.58817,1757.25044,2100.50493,five
1746.56041,2938.17406,2893.71594,3360.41942,3435.46153,five
1085.81506,1159.83243,2706.39431,1901.06745,1661.72234,five
1361.89648,1345.26745,2114.05591,1988.68944,2369.78567,five
1032.74259,1918.89374,2930.88808,3191.86349,3346.5453,five
1620.43078,2187.08017,3197.31513,3579.4631,3299.90685,five
1631.7679,1918.1323,2480.77935,2164.28359,2453.0292,five
870.03568,3053.19304,3484.44279,3324.74333,3289.56772,five
204.39973,1801.53046,2494.99555,2652.97907,2989.79996,five
669.29166,999.98631,538.98349,1053.07058,1887.56868,five
1000.51818,2115.02949,2607.79857,3210.3208,3228.16856,five
976.24517,2315.88877,3222.15932,2816.94219,2920.50262,five
353.74925,2992.53673,3522.53761,3315.60414,3253.84976,five
832.4128,1401.31734,2377.70946,3124.3924,3485.38174,five
1337.69202,1385.04976,1783.26176,1877.65243,2394.07115,five
920.08245,2552.57723,3005.49518,2933.21167,3047.15777,five
1881.01038,1403.48649,2502.8234,3312.93713,3193.45398,five
1162.76098,1329.40239,1629.21516,2054.63192,2652.28326,five
1700.39717,1903.3721,1995.06669,1943.21743,2397.25716,five
597.24542,1809.85768,2503.54414,3407.49121,3383.42553,five
712.67721,1585.86512,1900.0866,2903.45961,3174.55085,five
874.34974,1396.11536,2199.44467,2133.68269,2227.35168,five
2034.1457,3059.76371,3535.46544,3508.28393,3268.1774,five
680.92044,1918.01887,2368.58724,3094.42277,3339.18778,five
1359.40958,1221.31054,1904.14361,1959.18442,2088.53488,five
608.93931,2591.6894,2967.86359,2652.94073,2835.49795,five
2469.13124,1684.75508,1803.32632,2422.5325,3001.1544,five
823.14645,597.5049,2451.28891,2645.37906,3181.18632,five
1688.48824,2158.39128,2073.59097,2010.16888,2139.63815,five
1313.04627,2426.78095,2790.05389,2396.71779,2700.89089,five
1408.14704,1574.09368,2310.57028,2401.22497,3154.49224,five
15.47354,1459.89064,2001.73132,2554.16753,3207.34585,five
1479.45151,465.37357,1364.51002,1500.22096,1810.75634,five
3036.11204,2025.04721,1620.57379,1427.03076,2718.14736,five
654.73984,2167.14407,2172.69429,2054.32754,2409.95533,five
3466.19364,384.39571,1054.91737,1313.87688,1456.33181,four
3089.62456,1894.9135,1526.19243,1100.50468,1085.40665,four
2690.94677,2567.93628,1957.46705,1347.22126,1310.01444,four
1812.61763,1084.07581,1507.83506,1360.38353,1649.21978,four
3429.39402,299.25949,1013.70578,1704.35592,2615.13789,four
2220.21272,1044.88529,1310.29057,1429.65242,1885.66305,four
2868.95453,1438.67352,1885.33922,1781.61108,2516.18901,four
1074.28735,1056.6788,1203.14862,1031.42588,1463.88681,four
2535.06783,2170.0699,1997.47816,1012.45131,1003.51699,four
2554.26323,540.27892,1482.90273,2075.94511,3073.22891,four
3122.81445,2437.273,2502.4671,2076.48917,2247.07719,four
3161.33952,1531.86679,2455.39201,2437.83825,2816.02087,four
3008.10336,437.75616,1356.30806,1840.60321,2609.55397,four
2413.53389,343.46759,1041.01407,1433.45115,1651.60335,four
3630.99594,767.87051,513.9278,840.25775,1111.76602,four
2752.59872,721.59401,807.97867,1037.14746,1903.43379,four
2812.22875,1228.49242,1297.35929,1293.69328,1503.27166,four
3663.93185,760.04977,548.43411,1031.35429,1095.84574,four
2228.61856,1077.87819,908.02752,1271.60629,2393.09099,four
3031.319,780.35987,834.32677,846.94742,1377.10193,four
2476.8881,1147.65498,611.60347,351.63256,1239.00979,four
3636.46369,362.35084,1007.62496,992.29596,1376.68907,four
3000.45015,980.82934,940.46063,828.47971,1292.76777,four
3125.30221,1644.41722,230.06393,466.96914,1370.07654,four
2103.25302,528.46299,1203.87563,1151.1763,1618.69811,four
4124.24259,609.4842,872.3005,838.07735,1082.45251,four
2681.09203,1467.35985,1165.644,2058.49748,2907.65605,four
3074.88537,487.62217,1049.8771,1358.87781,1739.55844,four
3541.42341,1216.57858,709.47997,1235.01724,1775.18046,four
2941.55354,1572.3784,1019.67544,1526.80863,2401.26165,four
2763.084,1058.45989,1873.96157,1651.85021,1573.26903,four
3307.7901,845.16396,307.01279,551.19416,1212.17212,four
3586.57404,832.76337,1040.22522,825.79087,1453.137,four
2124.05042,410.31295,1081.36647,1024.71922,1315.24033,four
3283.3992,1776.99585,740.23819,437.9294,1099.28168,four
2890.59064,1280.89788,2239.97471,2438.2149,2968.32499,four
3434.11447,1163.63878,1886.57655,1066.81407,1335.73327,four
3129.67423,1236.45986,1045.24529,1325.5778,1658.61976,four
1682.39192,1641.64254,1535.39182,1187.06938,1435.17746,four
3079.93061,1693.71823,1096.17782,726.95462,1093.24396,four
2563.62659,1382.57514,1929.10935,2761.0395,3075.81174,four
3648.90926,1043.04536,862.65304,1350.62931,1805.49577,four
1225.81065,1978.17066,1296.11712,690.02846,1153.17077,four
3429.15851,2289.69857,2865.69325,2767.96856,2631.27206,four
3330.85941,1886.56308,3194.07371,2713.12408,2912.93172,four
3453.89411,312.3436,905.90779,1887.72789,2256.66096,four
3202.47128,3053.04358,2961.50789,2425.01334,2731.49986,four
2607.4534,1437.49998,1476.46207,2119.26506,3223.88703,four
3019.46587,369.19879,1053.79937,1248.06899,1366.31072,four
3542.03382,2049.37906,1994.66085,1364.41105,1383.32375,four
3971.90447,719.25196,1209.85859,1844.98413,2098.40719,four
3129.01307,1161.21327,1227.18135,796.1192,743.79674,four
2466.55328,1474.3256,136.8784,291.39224,1012.78772,four
3373.47631,248.43355,1255.88008,1279.67833,936.69964,four
3467.39407,124.19522,1081.92223,842.55227,1298.28016,four
1008.71882,840.39435,1348.22612,1128.65246,1340.66643,four
2817.27146,1292.9676,227.16604,302.61492,914.19522,four
3350.58332,461.97569,884.47108,1219.06438,1803.91813,four
3359.93858,608.19815,1385.95053,1035.22161,1322.00958,four
3922.9816,431.06063,530.75255,825.36052,1254.75871,four
3407.11403,1113.7758,818.88034,1415.76974,1926.81229,four
2043.03799,1033.348,951.2109,900.35902,1228.10169,four
3694.18061,868.54298,947.33927,852.19488,934.24132,four
3740.41925,1238.63711,398.58408,662.77579,950.82064,four
3402.63957,1584.05735,1447.72365,1573.51959,2115.3714,four
3943.08666,2308.55985,261.60449,592.82754,1485.58766,four
5830.88307,497.20343,760.03495,1070.76505,1527.90146,four
3067.43046,303.7205,1140.10779,1233.80297,1977.17423,four
3535.95456,1619.79184,900.8709,1178.92394,1530.55765,four
2907.89868,318.60338,1066.87776,1010.88504,1472.11718,four
3516.07413,141.58155,1161.79034,937.02028,1309.79249,four
4016.97957,1188.53214,1987.3427,1812.47959,1564.28597,four
4248.26415,980.89648,1645.92416,1556.63164,1647.23324,four
2928.6805,595.6569,1623.95242,1245.29128,1638.69481,four
3234.54344,601.29143,1216.06336,1242.00645,1124.62906,four
2862.83111,1367.69473,1330.23492,1330.00851,1067.79711,four
3723.48286,838.53049,1535.65115,1299.97933,1270.00581,four
3744.67872,1506.92315,1845.67635,1779.5944,1338.33519,four
3117.80777,1188.2674,1183.22498,1472.18618,916.53697,four
3778.10753,637.29254,1321.46223,1109.48996,1305.1887,four
3703.37903,545.20975,1030.46082,1028.6694,1404.19915,four
3889.75969,1198.31999,1720.23998,1345.27731,1162.56212,four
3660.94023,1506.64792,1419.10334,1562.12035,1288.34479,four
3767.27334,1056.1713,1533.57096,1363.90007,721.88797,four
3536.58612,653.43204,588.37843,1000.36043,1041.89751,four
1978.96939,489.3351,1294.87786,1140.48435,1158.77165,four
2249.73157,1833.86735,955.24603,1195.74291,1105.83387,four
3281.14826,1327.78491,1346.19074,1259.88744,1226.75465,four
4152.31881,656.23816,1091.20972,984.83385,1201.99914,four
2244.03124,1392.87359,579.3361,682.63893,1295.14908,four
3402.13667,1168.23592,1591.5662,1279.81817,1740.13117,four
3617.33246,1565.63583,1756.70474,1263.16658,1267.79924,four
